primary_label,filename,duration,clip_start_time,rating
insbab1,insbab1/XC655448.ogg,70.243,60,4.5
whiter2,whiter2/XC265271.ogg,373.603,160,3.0
rocpig,rocpig/XC460854.ogg,67.536,65,4.5
blakit1,blakit1/XC740481.ogg,568.007,275,4.5
asbfly,asbfly/XC313835.ogg,83.722,60,4.0
litegr,litegr/XC555268.ogg,10.136,10,2.5
houspa,houspa/XC464865.ogg,45.166,10,3.5
comros,comros/XC655820.ogg,81.58,80,2.0
grnwar1,grnwar1/XC736619.ogg,100.075,45,3.0
wynlau1,wynlau1/XC411406.ogg,57.391,20,3.0
graher1,graher1/XC528566.ogg,33.802,5,0.0
comros,comros/XC200456.ogg,17.45,10,3.5
eucdov,eucdov/XC668306.ogg,295.032,35,3.5
litegr,litegr/XC665915.ogg,42.318,15,4.5
houspa,houspa/XC467940.ogg,166.086,115,4.5
houspa,houspa/XC345970.ogg,20.349,15,1.5
cregos1,cregos1/XC284410.ogg,49.058,0,4.0
copbar1,copbar1/XC421927.ogg,24.711,10,3.0
blrwar1,blrwar1/XC826766.ogg,5964.225,660,4.0
houspa,houspa/XC140822.ogg,43.024,30,2.5
comtai1,comtai1/XC713876.ogg,330.888,285,4.0
eaywag1,eaywag1/XC535940.ogg,55.954,0,4.0
grehor1,grehor1/XC755737.ogg,20.0,0,5.0
purher1,purher1/XC640966.ogg,1.149,0,5.0
zitcis1,zitcis1/XC179034.ogg,14.001,5,3.0
thbwar1,thbwar1/XC478622.ogg,904.046,320,4.5
thbwar1,thbwar1/XC478622.ogg,904.046,705,4.5
bkwsti,bkwsti/XC643577.ogg,61.675,60,5.0
indrol2,indrol2/XC398456.ogg,32.94,25,5.0
blrwar1,blrwar1/XC808108.ogg,54.309,45,5.0
lobsun2,lobsun2/XC268366.ogg,49.58,25,4.0
blrwar1,blrwar1/XC572385.ogg,2245.272,1215,5.0
whtkin2,whtkin2/XC559648.ogg,40.411,25,4.0
gloibi,gloibi/XC263288.ogg,13.032,5,5.0
blakit1,blakit1/XC311871.ogg,378.854,325,4.5
gybpri1,gybpri1/XC239353.ogg,42.397,10,3.0
houspa,houspa/XC703376.ogg,271.595,240,1.5
