primary_label,filename,duration,clip_start_time
lblwar1,lblwar1/XC652398.ogg,50.28,20
blrwar1,blrwar1/XC659085.ogg,50.05,35
bkskit1,bkskit1/XC352493.ogg,165.381,25
comros,comros/XC204983.ogg,116.976,35
houcro1,houcro1/XC796825.ogg,91.392,10
houspa,houspa/XC698785.ogg,180.793,70
graher1,graher1/XC768404.ogg,487.288,65
houspa,houspa/XC480909.ogg,60.447,30
blhori1,blhori1/XC666144.ogg,80.509,30
mawthr1,mawthr1/XC523151.ogg,20.52,15
grewar3,grewar3/XC561035.ogg,59.904,0
hoopoe,hoopoe/XC727065.ogg,261.068,0
indpit1,indpit1/XC478480.ogg,5.93,5
litspi1,litspi1/XC29581.ogg,45.296,45
wemhar1,wemhar1/XC291096.ogg,100.937,65
laudov1,laudov1/XC405381.ogg,22.392,10
blrwar1,blrwar1/XC570489.ogg,290.736,285
litgre1,litgre1/XC486188.ogg,164.832,90
blrwar1,blrwar1/XC658147.ogg,603.872,520
rocpig,rocpig/XC796915.ogg,130.44,110
grecou1,grecou1/XC158458.ogg,172.643,55
whbwoo2,whbwoo2/XC378297.ogg,32.287,30
barswa,barswa/XC495726.ogg,16.536,10
blrwar1,blrwar1/XC770067.ogg,1432.059,350
gyhcaf1,gyhcaf1/XC744697.ogg,113.112,90
blrwar1,blrwar1/XC141038.ogg,455.976,175
purher1,purher1/XC733410.ogg,70.112,70
litegr,litegr/XC333910.ogg,71.471,5
commyn,commyn/XC519458.ogg,989.88,790
lblwar1,lblwar1/XC470536.ogg,76.896,45
lirplo,lirplo/XC550646.ogg,33.306,25
hoopoe,hoopoe/XC750097.ogg,25.56,10
houspa,houspa/XC243568.ogg,34.691,30
blrwar1,blrwar1/XC563337.ogg,2804.208,840
blrwar1,blrwar1/XC826779.ogg,889.678,110
putbab1,putbab1/XC161803.ogg,30.668,15
wemhar1,wemhar1/XC692053.ogg,42.336,25
cregos1,cregos1/XC840802.ogg,1019.507,780
bkwsti,bkwsti/XC558422.ogg,70.176,70
gybpri1,gybpri1/XC641510.ogg,42.136,40
hoopoe,hoopoe/XC855076.ogg,52.452,20
wemhar1,wemhar1/XC132157.ogg,84.82,80
commoo3,commoo3/XC624755.ogg,12.456,10
commyn,commyn/XC194940.ogg,13.688,10
categr,categr/XC485246.ogg,98.09,20
asbfly,asbfly/XC578909.ogg,19.464,0
litgre1,litgre1/XC449746.ogg,58.018,50
graher1,graher1/XC377397.ogg,448.758,325
brwowl1,brwowl1/XC409957.ogg,81.893,70
grewar3,grewar3/XC809436.ogg,390.264,355
